Nombre provincia,Nombre municipio,Nombre completo,Nombre,Número,Dirección,Enlace
ALAVA,KRIPAN,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,KUARTANGO,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ELBURGO/BURGELU,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ELCIEGO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,ELVILLAR/BILAR,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,IRURAIZ-GAUNA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,LABASTIDA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LAGRAN,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LAGUARDIA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LANCIEGO/LANTZIEGO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LAPUEBLA DE LABARCA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LEZA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LLODIO,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,ARRAIA-MAEZTU,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,MOREDA DE ALAVA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,NAVARIDAS,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,OKONDO,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,OYON/OION,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,PEÑACERRADA-URIZAHARRA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,RIBERA ALTA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,RIBERA BAJA/ERRIBERA BEITIA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,AÑANA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,SALVATIERRA O AGURAIN,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,SAMANIEGO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,SAN MILLAN/DONEMILIAGA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,URKABUSTAIZ,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,VALDEGOVIA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,HARANA/VALLE DE ARANA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,VILLABUENA DE ALAVA/ESKUERNAGA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LEGUTIANO,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,VITORIA-GASTEIZ,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-02-y-merc-y-bm-de-alava
ALAVA,VITORIA-GASTEIZ,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-02-y-merc-y-bm-de-alava
ALAVA,VITORIA-GASTEIZ,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,VITORIA 2 Y MERCANTIL Y DE BIENES MUEBLES DE ALAVA,,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-02-y-merc-y-bm-de-alava
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 4,VITORIA - GASTEIZ,4,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-04
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 4,VITORIA - GASTEIZ,4,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-04
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,VITORIA-GASTEIZ,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,YECORA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,ZALDUONDO,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ZAMBRANA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,ZUIA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,IRUÑA OKA/IRUÑA DE OCA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,LANTARON,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,LEZAMA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,ARRASTARIA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,BERGUENDA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,VALDEREJO,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,VILLAMAÑE,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,BARRIO BUSTO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,BERGANZO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,LABRAZA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,OCIO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,PAGANOS,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,PIPAON,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,QUINTANA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,SALINILLAS DE BURADON,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,SAN ROMAN DE CAMPEZO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,FORONDA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,FORONDA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,LOS HUETOS,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ARIÑEZ,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,MENDOZA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,ALI,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,ELORRIAGA,VITORIA - GASTEIZ 4,VITORIA - GASTEIZ,4,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-04
ALAVA,IRUÑA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,NANCLARES DE LA OCA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,LACOZMONTE,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,MORILLAS,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,LAMINORIA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,CORRES,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,APELLANIZ,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,SABANDO,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ORBISO,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ANTOÑANA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ALDA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,CONTRASTA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,IRURAIZ,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,GAUNA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ARLUCEA,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,MARQUINEZ,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,UBARRUNDIA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ARRAZUA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,GAMBOA,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,GUEVARA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALBACETE,ABENGIBRE,CASAS - IBAÑEZ,CASAS - IBAÑEZ,,"Doctor Fleming, 6 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/albacete/casas-ibanez/registro-de-la-propiedad-de-casas-ibanez
ALBACETE,ALATOZ,CASAS - IBAÑEZ,CASAS - IBAÑEZ,,"Doctor Fleming, 6 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/albacete/casas-ibanez/registro-de-la-propiedad-de-casas-ibanez
ALBACETE,ALBACETE,ALBACETE 1,ALBACETE,1,"Padre Romano, 12 - 2º",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-01
ALBACETE,ALBACETE,ALBACETE 1,ALBACETE,1,"Padre Romano, 12 - 2º",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-01
ALBACETE,ALBACETE,ALBACETE 2,ALBACETE,2,"Padre Romano, 12 - 1ª",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-02-y-merc-y-bm
ALBACETE,ALBACETE,ALBACETE 2,ALBACETE,2,"Padre Romano, 12 - 1ª",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-02-y-merc-y-bm
ALBACETE,ALBACETE,ALBACETE 3,ALBACETE,3,"Padre Romano, 12 - 3º izq.",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-03
ALBACETE,ALBACETE,ALBACETE 3,ALBACETE,3,"Padre Romano, 12 - 3º izq.",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-03
ALBACETE,ALBACETE,ALBACETE 4,ALBACETE,4,"Padre Romano, 12 - 3º drcha.",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-04
ALBACETE,ALBACETE,ALBACETE 4,ALBACETE,4,"Padre Romano, 12 - 3º drcha.",https://www.registradores.org/directorio/-/registros/propiedad/albacete/albacete/registro-de-la-propiedad-de-albacete-n-04
